Bandung,Makassar,DKI Jakarta,Medan,Surabaya,Pekanbaru,Batam,Palembang,Yogyakarta,Balikpapan
70250.0,55950.0,66900.0,50550.0,57450.0,53900.0,93450.0,62900.0,67550.0,66650.0
48200.0,41700.0,50650.0,44350.0,40100.0,41100.0,72050.0,57750.0,45300.0,64550.0
47200.0,50450.0,56400.0,57800.0,41500.0,41100.0,80400.0,59050.0,44450.0,64550.0
47200.0,50450.0,56400.0,57800.0,41500.0,41100.0,80400.0,59050.0,44450.0,64550.0
47200.0,50450.0,56400.0,57800.0,41500.0,41100.0,80400.0,59050.0,44450.0,64550.0
,,,,,,,,,
,,,,,,,,,
47200.0,50450.0,56400.0,57800.0,41500.0,41100.0,80400.0,59050.0,44450.0,64550.0
47200.0,50450.0,56400.0,57800.0,41500.0,41100.0,80400.0,59050.0,44450.0,64550.0
53300.0,50700.0,61400.0,52150.0,41500.0,41100.0,83150.0,63100.0,50950.0,64550.0
53300.0,50700.0,61400.0,52150.0,41500.0,41100.0,83150.0,63100.0,50950.0,64550.0
53300.0,50700.0,61400.0,52150.0,41500.0,41100.0,83150.0,63100.0,50950.0,64550.0
,,,,,,,,,
,,,,,,,,,
53300.0,50700.0,61400.0,52150.0,41500.0,41100.0,83150.0,63100.0,50950.0,64550.0
53300.0,50700.0,61400.0,52150.0,41500.0,41100.0,83150.0,63100.0,50950.0,64550.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
90800.0,42800.0,109550.0,45500.0,91750.0,56000.0,98950.0,77200.0,89650.0,82900.0
87200.0,54600.0,123100.0,41200.0,94100.0,90200.0,90200.0,78600.0,102700.0,82900.0
,,,,,,,,,
73900.0,45350.0,109150.0,36300.0,59850.0,51400.0,81600.0,74200.0,101050.0,78050.0
58300.0,28850.0,69550.0,33400.0,46200.0,42900.0,70950.0,28500.0,50450.0,77550.0
,,,,,,,,,
47200.0,36750.0,49050.0,43350.0,42450.0,60500.0,72300.0,26350.0,49650.0,71050.0
42950.0,37300.0,56550.0,44350.0,39250.0,34550.0,71500.0,53950.0,42050.0,60650.0
,,,,,,,,,
64250.0,51800.0,61900.0,45250.0,50450.0,51400.0,91300.0,65350.0,67550.0,66650.0
70250.0,55950.0,66900.0,50550.0,57450.0,53900.0,93450.0,62900.0,67550.0,66650.0
64250.0,51800.0,61900.0,45250.0,50450.0,51400.0,91300.0,65350.0,67550.0,66650.0
,,,,,,,,,
,,,,,,,,,
64250.0,51800.0,61900.0,45250.0,50450.0,51400.0,91300.0,65350.0,67550.0,66650.0
64250.0,51800.0,61900.0,45250.0,50450.0,51400.0,91300.0,65350.0,67550.0,66650.0
60900.0,51050.0,61900.0,45250.0,55700.0,51400.0,87650.0,66300.0,67550.0,66650.0
60900.0,51050.0,61900.0,45250.0,55700.0,51400.0,87650.0,66300.0,67550.0,66650.0
60900.0,51050.0,61900.0,45250.0,55700.0,51400.0,87650.0,66300.0,67550.0,66650.0
,,,,,,,,,
,,,,,,,,,
60900.0,51050.0,61900.0,45250.0,55700.0,51400.0,87650.0,66300.0,67550.0,66650.0
60900.0,51050.0,61900.0,45250.0,55700.0,51400.0,87650.0,66300.0,67550.0,66650.0
64000.0,54800.0,63400.0,45250.0,54950.0,51400.0,91250.0,66300.0,67550.0,66650.0
64000.0,54800.0,63400.0,45250.0,54950.0,51400.0,91250.0,66300.0,67550.0,66650.0
64000.0,54800.0,63400.0,45250.0,54950.0,51400.0,91250.0,66300.0,67550.0,66650.0
,,,,,,,,,
,,,,,,,,,
64000.0,54800.0,63400.0,45250.0,54950.0,51400.0,91250.0,66300.0,67550.0,66650.0
,,,,,,,,,
94750.0,53850.0,116950.0,45500.0,103650.0,50500.0,96700.0,72400.0,89650.0,82900.0
87200.0,54600.0,123100.0,41200.0,94100.0,90200.0,90200.0,78600.0,102700.0,82900.0
,,,,,,,,,
73900.0,45350.0,109150.0,36300.0,59850.0,51400.0,81600.0,74200.0,101050.0,78050.0
58300.0,28850.0,69550.0,33400.0,46200.0,42900.0,70950.0,28500.0,50450.0,77550.0
,,,,,,,,,
46100.0,36750.0,50050.0,43350.0,43100.0,60500.0,75900.0,56900.0,49650.0,62900.0
,,,,,,,,,
48200.0,41700.0,50650.0,44350.0,40100.0,41100.0,72050.0,57750.0,45300.0,64550.0
64250.0,51800.0,61900.0,45250.0,50450.0,51400.0,91300.0,65350.0,67550.0,66650.0
,,,,,,,,,
,,,,,,,,,
70250.0,55950.0,66900.0,50550.0,57450.0,53900.0,93450.0,62900.0,67550.0,66650.0
70250.0,55950.0,66900.0,50550.0,57450.0,53900.0,93450.0,62900.0,67550.0,66650.0
74050.0,55300.0,76050.0,46300.0,69700.0,53900.0,93800.0,75950.0,71550.0,66650.0
74050.0,55300.0,76050.0,46300.0,69700.0,53900.0,93800.0,75950.0,71550.0,66650.0
74050.0,55300.0,76050.0,46300.0,69700.0,53900.0,93800.0,75950.0,71550.0,66650.0
,,,,,,,,,
,,,,,,,,,
74050.0,55300.0,76050.0,46300.0,69700.0,53900.0,93800.0,75950.0,71550.0,66650.0
74050.0,55300.0,76050.0,46300.0,69700.0,53900.0,93800.0,75950.0,71550.0,66650.0
72950.0,53300.0,76050.0,63750.0,67200.0,53900.0,102100.0,75950.0,81300.0,66650.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
72950.0,53300.0,76050.0,63750.0,67200.0,53900.0,102100.0,75950.0,81300.0,66650.0
72950.0,53300.0,76050.0,63750.0,67200.0,53900.0,102100.0,75950.0,81300.0,66650.0
72950.0,53300.0,76050.0,63750.0,67200.0,53900.0,102100.0,75950.0,81300.0,77400.0
,,,,,,,,,
,,,,,,,,,
83650.0,52400.0,104200.0,67200.0,80700.0,83900.0,108150.0,86550.0,99500.0,76900.0
87300.0,50350.0,104200.0,57950.0,90950.0,89900.0,87100.0,84550.0,89500.0,74900.0
79600.0,55300.0,91700.0,57950.0,92000.0,89900.0,87200.0,83950.0,86900.0,79900.0
,,,,,,,,,
,,,,,,,,,
55200.0,57200.0,63900.0,31750.0,78700.0,58900.0,69650.0,68600.0,65450.0,76150.0
,,,,,,,,,
45500.0,44250.0,45450.0,39500.0,49200.0,54750.0,75650.0,60150.0,54150.0,76150.0
38900.0,30150.0,41100.0,33500.0,45700.0,63950.0,71700.0,50200.0,40600.0,74400.0
43600.0,26400.0,46900.0,44000.0,45200.0,68050.0,80200.0,55450.0,42100.0,67650.0
