,balikpapan,bandung,batam,jakarta,makassar,medan,palembang,pekanbaru,surabaya,yogyakarta
2018-06-27,68150.0,65650.0,60650.0,82700.0,51050.0,45000.0,70650.0,53650.0,68250.0,70300.0
2018-06-28,68150.0,65650.0,60650.0,82700.0,51050.0,45000.0,70650.0,53650.0,68250.0,70300.0
2018-06-29,68150.0,65650.0,60650.0,82700.0,51050.0,45000.0,70650.0,53650.0,68250.0,70300.0
2018-06-30,,,,,,,,,,
2018-07-01,,,,,,,,,,
2018-07-02,68150.0,65650.0,60650.0,82700.0,51050.0,45000.0,70650.0,53650.0,68250.0,70300.0
2018-07-03,68150.0,65650.0,60650.0,82700.0,51050.0,45000.0,70650.0,53650.0,68250.0,70300.0
2018-07-04,69650.0,58500.0,57650.0,79350.0,48050.0,43550.0,73800.0,43650.0,69050.0,70300.0
2018-07-05,69650.0,58500.0,57650.0,79350.0,48050.0,43550.0,73800.0,43650.0,69050.0,70300.0
2018-07-06,69650.0,58500.0,57650.0,79350.0,48050.0,43550.0,73800.0,43650.0,69050.0,70300.0
2018-07-07,,,,,,,,,,
2018-07-08,,,,,,,,,,
2018-07-09,69650.0,58500.0,57650.0,79350.0,48050.0,43550.0,73800.0,43650.0,69050.0,70300.0
2018-07-10,69650.0,58500.0,57650.0,79350.0,48050.0,43550.0,73800.0,43650.0,69050.0,70300.0
2018-07-11,69650.0,56150.0,59550.0,84100.0,42550.0,42250.0,73800.0,73400.0,71050.0,68700.0
2018-07-12,69650.0,56150.0,59550.0,84100.0,42550.0,42250.0,73800.0,73400.0,71050.0,68700.0
2018-07-13,69650.0,56150.0,59550.0,84100.0,42550.0,42250.0,73800.0,73400.0,71050.0,68700.0
2018-07-14,,,,,,,,,,
2018-07-15,,,,,,,,,,
2018-07-16,69650.0,56150.0,59550.0,84100.0,42550.0,42250.0,73800.0,73400.0,71050.0,68700.0
2018-07-17,69650.0,56150.0,59550.0,84100.0,42550.0,42250.0,73800.0,73400.0,71050.0,68700.0
2018-07-18,69650.0,55850.0,61300.0,76950.0,44050.0,41500.0,73800.0,73400.0,73950.0,55350.0
2018-07-19,69650.0,55850.0,61300.0,76950.0,44050.0,41500.0,73800.0,73400.0,73950.0,55350.0
2018-07-20,69650.0,55850.0,61300.0,76950.0,44050.0,41500.0,73800.0,73400.0,73950.0,55350.0
2018-07-21,,,,,,,,,,
2018-07-22,,,,,,,,,,
2018-07-23,69650.0,55850.0,61300.0,76950.0,44050.0,41500.0,73800.0,73400.0,73950.0,55350.0
2018-07-24,69650.0,55850.0,61300.0,76950.0,44050.0,41500.0,73800.0,73400.0,73950.0,55350.0
2018-07-25,69650.0,57200.0,63050.0,83700.0,44350.0,40650.0,71950.0,72650.0,71450.0,55350.0
2018-07-26,69650.0,57200.0,63050.0,83700.0,44350.0,40650.0,71950.0,72650.0,71450.0,55350.0
2018-07-27,69650.0,57200.0,63050.0,83700.0,44350.0,40650.0,71950.0,72650.0,71450.0,55350.0
2018-07-28,,,,,,,,,,
2018-07-29,,,,,,,,,,
